EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIKSIC, MONTENEGRO (STAID: 11380)
Blended and updated with sources:75545 913459 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11380, 75545,20160701,  205,    0
 11380, 75545,20160702,  215,    0
 11380, 75545,20160703,  233,    0
 11380, 75545,20160704,  239,    0
 11380, 75545,20160705,  228,    0
 11380, 75545,20160706,  220,    0
 11380, 75545,20160707,  223,    0
 11380, 75545,20160708,  219,    0
 11380, 75545,20160709,  228,    0
 11380,913459,20160710,  271,    0
 11380, 75545,20160711,  247,    0
 11380, 75545,20160712,  254,    0
 11380, 75545,20160713,  247,    0
 11380, 75545,20160714,  231,    0
 11380, 75545,20160715,  192,    0
 11380, 75545,20160716,  161,    0
 11380, 75545,20160717,  166,    0
 11380, 75545,20160718,  192,    0
 11380, 75545,20160719,  211,    0
 11380, 75545,20160720,  218,    0
 11380,913459,20160721,  213,    0
 11380, 75545,20160722,  220,    0
 11380, 75545,20160723,  233,    0
 11380, 75545,20160724,  249,    0
 11380, 75545,20160725,  259,    0
 11380, 75545,20160726,  227,    0
 11380, 75545,20160727,  222,    0
 11380, 75545,20160728,  230,    0
 11380, 75545,20160729,  228,    0
 11380, 75545,20160730,  236,    0
 11380, 75545,20160731,  238,    0
 11380, 75545,20160801,  232,    0
 11380, 75545,20160802,  228,    0
 11380, 75545,20160803,  238,    0
 11380, 75545,20160804,  225,    0
 11380, 75545,20160805,  231,    0
 11380, 75545,20160806,  228,    0
 11380, 75545,20160807,  189,    0
 11380, 75545,20160808,  210,    0
 11380, 75545,20160809,  217,    0
 11380, 75545,20160810,  216,    0
 11380, 75545,20160811,  191,    0
 11380, 75545,20160812,  171,    0
 11380, 75545,20160813,  184,    0
 11380, 75545,20160814,  178,    0
 11380, 75545,20160815,  207,    0
 11380, 75545,20160816,  219,    0
 11380, 75545,20160817,  202,    0
 11380, 75545,20160818,  211,    0
 11380, 75545,20160819,  208,    0
 11380, 75545,20160820,  220,    0
 11380, 75545,20160821,  232,    0
 11380, 75545,20160822,  186,    0
 11380, 75545,20160823,  192,    0
 11380, 75545,20160824,  213,    0
 11380, 75545,20160825,  231,    0
 11380, 75545,20160826,  224,    0
 11380, 75545,20160827,  232,    0
 11380, 75545,20160828,  213,    0
 11380, 75545,20160829,  221,    0
 11380, 75545,20160830,  226,    0
 11380, 75545,20160831,  227,    0
 11380, 75545,20160901,  217,    0
 11380, 75545,20160902,  217,    0
 11380, 75545,20160903,  215,    0
 11380, 75545,20160904,  207,    0
 11380, 75545,20160905,  175,    0
 11380, 75545,20160906,  158,    0
 11380, 75545,20160907,  183,    0
 11380, 75545,20160908,  179,    0
 11380, 75545,20160909,  194,    0
 11380, 75545,20160910,  194,    0
 11380, 75545,20160911,  193,    0
 11380, 75545,20160912,  203,    0
 11380, 75545,20160913,  192,    0
 11380, 75545,20160914,  189,    0
 11380, 75545,20160915,  182,    0
 11380, 75545,20160916,  184,    0
 11380, 75545,20160917,  169,    0
 11380, 75545,20160918,  168,    0
 11380, 75545,20160919,  153,    0
 11380, 75545,20160920,  149,    0
 11380, 75545,20160921,  149,    0
 11380, 75545,20160922,  144,    0
 11380, 75545,20160923,  131,    0
 11380, 75545,20160924,  117,    0
 11380, 75545,20160925,  141,    0
 11380, 75545,20160926,  143,    0
 11380, 75545,20160927,  139,    0
 11380, 75545,20160928,  141,    0
 11380, 75545,20160929,  143,    0
 11380, 75545,20160930,  141,    0
 11380, 75545,20161001,  144,    0
 11380, 75545,20161002,  149,    0
 11380, 75545,20161003,  162,    0
 11380, 75545,20161004,-9999,    9
 11380, 75545,20161005,  106,    0
 11380, 75545,20161006,   59,    0
 11380, 75545,20161007,   96,    0
 11380, 75545,20161008,  115,    0
 11380, 75545,20161009,   98,    0
 11380, 75545,20161010,   96,    0
 11380, 75545,20161011,  102,    0
 11380, 75545,20161012,   95,    0
 11380, 75545,20161013,   72,    0
 11380, 75545,20161014,  123,    0
 11380, 75545,20161015,  125,    0
 11380, 75545,20161016,  145,    0
 11380, 75545,20161017,  143,    0
 11380, 75545,20161018,  112,    0
 11380, 75545,20161019,  134,    0
 11380, 75545,20161020,-9999,    9
 11380, 75545,20161021,  124,    0
 11380, 75545,20161022,  136,    0
 11380, 75545,20161023,  112,    0
 11380, 75545,20161024,  145,    0
 11380, 75545,20161025,  143,    0
 11380, 75545,20161026,  160,    0
 11380, 75545,20161027,  141,    0
 11380, 75545,20161028,  108,    0
 11380, 75545,20161029,  102,    0
 11380, 75545,20161030,  117,    0
 11380, 75545,20161031,   88,    0
 11380, 75545,20161101,   88,    0
 11380, 75545,20161102,   64,    0
 11380, 75545,20161103,   81,    0
 11380, 75545,20161104,   97,    0
 11380, 75545,20161105,   95,    0
 11380, 75545,20161106,  127,    0
 11380, 75545,20161107,  137,    0
 11380, 75545,20161108,   96,    0
 11380, 75545,20161109,  100,    0
 11380, 75545,20161110,   43,    0
 11380, 75545,20161111,   70,    0
 11380, 75545,20161112,   71,    0
 11380, 75545,20161113,   50,    0
 11380, 75545,20161114,   41,    0
 11380, 75545,20161115,   32,    0
 11380, 75545,20161116,   27,    0
 11380, 75545,20161117,   50,    0
 11380, 75545,20161118,   61,    0
 11380, 75545,20161119,   97,    0
 11380, 75545,20161120,  120,    0
 11380, 75545,20161121,  109,    0
 11380,913459,20161122,  102,    0
 11380, 75545,20161123,   85,    0
 11380, 75545,20161124,   74,    0
 11380, 75545,20161125,   51,    0
 11380, 75545,20161126,   94,    0
 11380, 75545,20161127,  100,    0
 11380, 75545,20161128,   50,    0
 11380, 75545,20161129,   -5,    0
 11380, 75545,20161130,    0,    0
 11380, 75545,20161201,   39,    0
 11380, 75545,20161202,    3,    0
 11380, 75545,20161203,   37,    0
 11380, 75545,20161204,   43,    0
 11380, 75545,20161205,   27,    0
 11380, 75545,20161206,   58,    0
 11380, 75545,20161207,   45,    0
 11380, 75545,20161208,   24,    0
 11380, 75545,20161209,   29,    0
 11380, 75545,20161210,   58,    0
 11380, 75545,20161211,   38,    0
 11380, 75545,20161212,   34,    0
 11380, 75545,20161213,   26,    0
 11380, 75545,20161214,   -2,    0
 11380, 75545,20161215,   22,    0
 11380, 75545,20161216,   27,    0
 11380, 75545,20161217,   28,    0
 11380, 75545,20161218,   29,    0
 11380, 75545,20161219,   16,    0
 11380, 75545,20161220,   21,    0
 11380, 75545,20161221,   43,    0
 11380, 75545,20161222,   60,    0
 11380, 75545,20161223,   62,    0
 11380, 75545,20161224,   88,    0
 11380, 75545,20161225,   43,    0
 11380, 75545,20161226,   68,    0
 11380, 75545,20161227,   52,    0
 11380,913459,20161228,   26,    0
 11380, 75545,20161229,   -7,    0
 11380, 75545,20161230,  -20,    0
 11380, 75545,20161231,    1,    0
 11380, 75545,20170101,    7,    0
 11380, 75545,20170102,    0,    0
 11380, 75545,20170103,   18,    0
 11380, 75545,20170104,    7,    0
 11380, 75545,20170105,    0,    0
 11380, 75545,20170106,  -61,    0
 11380, 75545,20170107, -113,    0
 11380, 75545,20170108, -102,    0
 11380, 75545,20170109,  -87,    0
 11380, 75545,20170110,  -90,    0
 11380, 75545,20170111,  -85,    0
 11380, 75545,20170112,  -89,    0
 11380, 75545,20170113,  -12,    0
 11380, 75545,20170114,   12,    0
 11380, 75545,20170115,  -13,    0
 11380, 75545,20170116,   -9,    0
 11380, 75545,20170117,   16,    0
 11380, 75545,20170118,   16,    0
 11380, 75545,20170119,   19,    0
 11380, 75545,20170120,    8,    0
 11380, 75545,20170121,    6,    0
 11380, 75545,20170122,    7,    0
 11380, 75545,20170123,    7,    0
 11380, 75545,20170124,   23,    0
 11380, 75545,20170125,   27,    0
 11380, 75545,20170126,   -7,    0
 11380, 75545,20170127,  -25,    0
 11380, 75545,20170128,   -6,    0
 11380, 75545,20170129,   -4,    0
 11380, 75545,20170130,   10,    0
 11380, 75545,20170131,   16,    0
 11380, 75545,20170201,   24,    0
 11380, 75545,20170202,   41,    0
 11380, 75545,20170203,   55,    0
 11380, 75545,20170204,   80,    0
 11380, 75545,20170205,   73,    0
 11380, 75545,20170206,   86,    0
 11380, 75545,20170207,   43,    0
 11380, 75545,20170208,   54,    0
 11380, 75545,20170209,   59,    0
 11380, 75545,20170210,   69,    0
 11380, 75545,20170211,   53,    0
 11380, 75545,20170212,   40,    0
 11380, 75545,20170213,   43,    0
 11380,913459,20170214,   47,    0
 11380, 75545,20170215,   75,    0
 11380, 75545,20170216,   83,    0
 11380, 75545,20170217,-9999,    9
 11380, 75545,20170218,   48,    0
 11380, 75545,20170219,   38,    0
 11380, 75545,20170220,   28,    0
 11380, 75545,20170221,   31,    0
 11380, 75545,20170222,   48,    0
 11380, 75545,20170223,   41,    0
 11380, 75545,20170224,   61,    0
 11380, 75545,20170225,   35,    0
 11380, 75545,20170226,   69,    0
 11380, 75545,20170227,   91,    0
 11380, 75545,20170228,   84,    0
 11380, 75545,20170301,   88,    0
 11380, 75545,20170302,   62,    0
 11380, 75545,20170303,   73,    0
 11380, 75545,20170304,   71,    0
 11380, 75545,20170305,   86,    0
 11380, 75545,20170306,   76,    0
 11380, 75545,20170307,   59,    0
 11380, 75545,20170308,   62,    0
 11380, 75545,20170309,  106,    0
 11380, 75545,20170310,   93,    0
 11380, 75545,20170311,   72,    0
 11380, 75545,20170312,   60,    0
 11380, 75545,20170313,   48,    0
 11380, 75545,20170314,   79,    0
 11380, 75545,20170315,   89,    0
 11380, 75545,20170316,   94,    0
 11380, 75545,20170317,  102,    0
 11380, 75545,20170318,   72,    0
 11380, 75545,20170319,   98,    0
 11380, 75545,20170320,  125,    0
 11380, 75545,20170321,  124,    0
 11380, 75545,20170322,  131,    0
 11380, 75545,20170323,  131,    0
 11380, 75545,20170324,  155,    0
 11380, 75545,20170325,  133,    0
 11380, 75545,20170326,   90,    0
 11380, 75545,20170327,   82,    0
 11380, 75545,20170328,  103,    0
 11380, 75545,20170329,  120,    0
 11380, 75545,20170330,  151,    0
 11380, 75545,20170331,  155,    0
 11380, 75545,20170401,  116,    0
 11380, 75545,20170402,-9999,    9
 11380, 75545,20170403,  118,    0
 11380, 75545,20170404,   82,    0
 11380, 75545,20170405,   81,    0
 11380, 75545,20170406,   89,    0
 11380, 75545,20170407,   60,    0
 11380, 75545,20170408,  105,    0
 11380, 75545,20170409,  113,    0
 11380, 75545,20170410,  116,    0
 11380, 75545,20170411,  121,    0
 11380, 75545,20170412,  152,    0
 11380, 75545,20170413,  123,    0
 11380, 75545,20170414,  124,    0
 11380, 75545,20170415,  104,    0
 11380, 75545,20170416,   96,    0
 11380, 75545,20170417,   96,    0
 11380, 75545,20170418,   70,    0
 11380, 75545,20170419,-9999,    9
 11380, 75545,20170420,   30,    0
 11380, 75545,20170421,   30,    0
 11380, 75545,20170422,   56,    0
 11380, 75545,20170423,   50,    0
 11380, 75545,20170424,   75,    0
 11380, 75545,20170425,  103,    0
 11380, 75545,20170426,  104,    0
 11380, 75545,20170427,  142,    0
 11380, 75545,20170428,  139,    0
 11380, 75545,20170429,  130,    0
 11380, 75545,20170430,  130,    0
 11380, 75545,20170501,  145,    0
 11380, 75545,20170502,  145,    0
 11380, 75545,20170503,  145,    0
 11380, 75545,20170504,  133,    0
 11380, 75545,20170505,  108,    0
 11380, 75545,20170506,  132,    0
 11380, 75545,20170507,  121,    0
 11380, 75545,20170508,  127,    0
 11380, 75545,20170509,  144,    0
 11380, 75545,20170510,  115,    0
 11380, 75545,20170511,  136,    0
 11380, 75545,20170512,  142,    0
 11380, 75545,20170513,  178,    0
 11380, 75545,20170514,  164,    0
 11380, 75545,20170515,  168,    0
 11380, 75545,20170516,  185,    0
 11380, 75545,20170517,  177,    0
 11380, 75545,20170518,  165,    0
 11380, 75545,20170519,  151,    0
 11380, 75545,20170520,  148,    0
 11380, 75545,20170521,  147,    0
 11380, 75545,20170522,  176,    0
 11380, 75545,20170523,  158,    0
 11380, 75545,20170524,  152,    0
 11380, 75545,20170525,  148,    0
 11380, 75545,20170526,  136,    0
 11380, 75545,20170527,  164,    0
 11380, 75545,20170528,  180,    0
 11380, 75545,20170529,  160,    0
 11380, 75545,20170530,  167,    0
 11380, 75545,20170531,  173,    0
 11380, 75545,20170601,  187,    0
 11380, 75545,20170602,  189,    0
 11380, 75545,20170603,  183,    0
 11380, 75545,20170604,  184,    0
 11380, 75545,20170605,  192,    0
 11380, 75545,20170606,  189,    0
 11380, 75545,20170607,  188,    0
 11380, 75545,20170608,  191,    0
 11380, 75545,20170609,  196,    0
 11380, 75545,20170610,  180,    0
 11380, 75545,20170611,  185,    0
 11380, 75545,20170612,  206,    0
 11380, 75545,20170613,  209,    0
 11380, 75545,20170614,  220,    0
 11380, 75545,20170615,  230,    0
 11380, 75545,20170616,  217,    0
 11380, 75545,20170617,  182,    0
 11380, 75545,20170618,  150,    0
 11380, 75545,20170619,  200,    0
 11380, 75545,20170620,  201,    0
 11380, 75545,20170621,  213,    0
 11380, 75545,20170622,  222,    0
 11380, 75545,20170623,  223,    0
 11380, 75545,20170624,  249,    0
 11380, 75545,20170625,  251,    0
 11380, 75545,20170626,  219,    0
 11380, 75545,20170627,  230,    0
 11380, 75545,20170628,  215,    0
 11380, 75545,20170629,  234,    0
 11380, 75545,20170630,  231,    0
 11380, 75545,20170701,  246,    0
 11380, 75545,20170702,  227,    0
 11380, 75545,20170703,  188,    0
 11380, 75545,20170704,  205,    0
 11380, 75545,20170705,  214,    0
 11380,913459,20170706,  235,    0
 11380, 75545,20170707,  244,    0
 11380, 75545,20170708,  251,    0
 11380, 75545,20170709,  264,    0
 11380, 75545,20170710,  242,    0
 11380, 75545,20170711,  245,    0
 11380, 75545,20170712,  252,    0
 11380, 75545,20170713,  249,    0
 11380, 75545,20170714,  255,    0
 11380, 75545,20170715,-9999,    9
 11380, 75545,20170716,-9999,    9
 11380, 75545,20170717,-9999,    9
 11380, 75545,20170718,-9999,    9
 11380, 75545,20170719,  231,    0
 11380, 75545,20170720,  233,    0
 11380, 75545,20170721,  238,    0
 11380, 75545,20170722,  237,    0
 11380, 75545,20170723,  248,    0
 11380, 75545,20170724,  250,    0
 11380, 75545,20170725,  199,    0
 11380, 75545,20170726,  187,    0
 11380, 75545,20170727,  179,    0
 11380, 75545,20170728,  207,    0
 11380, 75545,20170729,  217,    0
 11380,913459,20170730,  247,    0
 11380, 75545,20170731,  263,    0
 11380, 75545,20170801,  263,    0
 11380, 75545,20170802,  274,    0
 11380, 75545,20170803,  268,    0
 11380, 75545,20170804,  277,    0
 11380, 75545,20170805,  278,    0
 11380, 75545,20170806,  289,    0
 11380, 75545,20170807,  264,    0
 11380, 75545,20170808,  273,    0
 11380, 75545,20170809,  277,    0
 11380, 75545,20170810,  281,    0
 11380, 75545,20170811,  268,    0
 11380, 75545,20170812,  226,    0
 11380, 75545,20170813,  187,    0
 11380, 75545,20170814,  213,    0
 11380, 75545,20170815,  221,    0
 11380, 75545,20170816,  254,    0
 11380, 75545,20170817,  257,    0
 11380, 75545,20170818,  240,    0
 11380, 75545,20170819,  243,    0
 11380, 75545,20170820,  227,    0
 11380, 75545,20170821,  209,    0
 11380, 75545,20170822,  195,    0
 11380, 75545,20170823,  193,    0
 11380, 75545,20170824,  208,    0
 11380, 75545,20170825,  229,    0
 11380, 75545,20170826,  237,    0
 11380, 75545,20170827,  249,    0
 11380, 75545,20170828,  245,    0
 11380, 75545,20170829,  225,    0
 11380, 75545,20170830,  204,    0
 11380, 75545,20170831,  199,    0
 11380, 75545,20170901,  209,    0
 11380, 75545,20170902,  211,    0
 11380, 75545,20170903,  175,    0
 11380, 75545,20170904,  162,    0
 11380, 75545,20170905,  174,    0
 11380, 75545,20170906,  166,    0
 11380, 75545,20170907,  175,    0
 11380, 75545,20170908,  165,    0
 11380, 75545,20170909,  158,    0
 11380, 75545,20170910,  180,    0
 11380, 75545,20170911,-9999,    9
 11380, 75545,20170912,  166,    0
 11380, 75545,20170913,  192,    0
 11380, 75545,20170914,  158,    0
 11380, 75545,20170915,  166,    0
 11380, 75545,20170916,  172,    0
 11380, 75545,20170917,  178,    0
 11380, 75545,20170918,  173,    0
 11380, 75545,20170919,  135,    0
