EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ANDERNACH, GERMANY (STAID: 11733)
Blended and updated with sources:80855 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11733, 80855,20110901,  150,    0
 11733, 80855,20110902,  179,    0
 11733, 80855,20110903,  213,    0
 11733, 80855,20110904,  221,    0
 11733, 80855,20110905,  176,    0
 11733, 80855,20110906,  169,    0
 11733, 80855,20110907,  168,    0
 11733, 80855,20110908,  158,    0
 11733, 80855,20110909,  182,    0
 11733, 80855,20110910,  219,    0
 11733, 80855,20110911,  179,    0
 11733, 80855,20110912,  179,    0
 11733, 80855,20110913,  180,    0
 11733, 80855,20110914,  156,    0
 11733, 80855,20110915,  145,    0
 11733, 80855,20110916,  141,    0
 11733, 80855,20110917,  166,    0
 11733, 80855,20110918,  134,    0
 11733, 80855,20110919,  135,    0
 11733, 80855,20110920,  128,    0
 11733, 80855,20110921,  147,    0
 11733, 80855,20110922,  158,    0
 11733, 80855,20110923,  145,    0
 11733, 80855,20110924,  136,    0
 11733, 80855,20110925,  150,    0
 11733, 80855,20110926,  173,    0
 11733, 80855,20110927,  184,    0
 11733, 80855,20110928,  171,    0
 11733, 80855,20110929,  165,    0
 11733, 80855,20110930,  163,    0
 11733, 80855,20111001,  162,    0
 11733, 80855,20111002,  167,    0
 11733, 80855,20111003,  158,    0
 11733, 80855,20111004,  166,    0
 11733, 80855,20111005,  181,    0
 11733, 80855,20111006,  147,    0
 11733, 80855,20111007,  106,    0
 11733, 80855,20111008,   97,    0
 11733, 80855,20111009,   97,    0
 11733, 80855,20111010,  165,    0
 11733, 80855,20111011,  173,    0
 11733, 80855,20111012,  156,    0
 11733, 80855,20111013,  108,    0
 11733, 80855,20111014,   69,    0
 11733, 80855,20111015,   59,    0
 11733, 80855,20111016,   56,    0
 11733, 80855,20111017,   64,    0
 11733, 80855,20111018,   96,    0
 11733, 80855,20111019,   86,    0
 11733, 80855,20111020,   55,    0
 11733, 80855,20111021,   30,    0
 11733, 80855,20111022,   42,    0
 11733, 80855,20111023,   36,    0
 11733, 80855,20111024,   63,    0
 11733, 80855,20111025,  104,    0
 11733, 80855,20111026,   97,    0
 11733, 80855,20111027,   64,    0
 11733, 80855,20111028,   93,    0
 11733, 80855,20111029,  106,    0
 11733, 80855,20111030,  119,    0
 11733, 80855,20111031,  117,    0
 11733, 80855,20111101,   88,    0
 11733, 80855,20111102,  105,    0
 11733, 80855,20111103,  107,    0
 11733, 80855,20111104,  115,    0
 11733, 80855,20111105,  108,    0
 11733, 80855,20111106,   92,    0
 11733, 80855,20111107,   91,    0
 11733, 80855,20111108,   59,    0
 11733, 80855,20111109,   61,    0
 11733, 80855,20111110,   51,    0
 11733, 80855,20111111,   52,    0
 11733, 80855,20111112,   43,    0
 11733, 80855,20111113,   46,    0
 11733, 80855,20111114,    3,    0
 11733, 80855,20111115,   -4,    0
 11733, 80855,20111116,    0,    0
 11733, 80855,20111117,   40,    0
 11733, 80855,20111118,   72,    0
 11733, 80855,20111119,   57,    0
 11733, 80855,20111120,   64,    0
 11733, 80855,20111121,   16,    0
 11733, 80855,20111122,   14,    0
 11733, 80855,20111123,   20,    0
 11733, 80855,20111124,   29,    0
 11733, 80855,20111125,   16,    0
 11733, 80855,20111126,   62,    0
 11733, 80855,20111127,   82,    0
 11733, 80855,20111128,    3,    0
 11733, 80855,20111129,   23,    0
 11733, 80855,20111130,   55,    0
 11733, 80855,20111201,   58,    0
 11733, 80855,20111202,   70,    0
 11733, 80855,20111203,   65,    0
 11733, 80855,20111204,   81,    0
 11733, 80855,20111205,   50,    0
 11733, 80855,20111206,   35,    0
 11733, 80855,20111207,   60,    0
 11733, 80855,20111208,   66,    0
 11733, 80855,20111209,   71,    0
 11733, 80855,20111210,   27,    0
 11733, 80855,20111211,    4,    0
 11733, 80855,20111212,   58,    0
