EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TIRVIA, SPAIN (STAID: 16320)
Blended and updated with sources:90627 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 16320, 90627,20180101,-9999,    9
 16320, 90627,20180102,-9999,    9
 16320, 90627,20180103,-9999,    9
 16320, 90627,20180104,-9999,    9
 16320, 90627,20180105,-9999,    9
 16320, 90627,20180106,-9999,    9
 16320, 90627,20180107,-9999,    9
 16320, 90627,20180108,-9999,    9
 16320, 90627,20180109,-9999,    9
 16320, 90627,20180110,-9999,    9
 16320, 90627,20180111,-9999,    9
 16320, 90627,20180112,    6,    0
 16320, 90627,20180113,  -10,    0
 16320, 90627,20180114,   15,    0
 16320, 90627,20180115,    6,    0
 16320, 90627,20180116,   28,    0
 16320, 90627,20180117,   58,    0
 16320, 90627,20180118,   19,    0
 16320, 90627,20180119,   43,    0
 16320, 90627,20180120,   55,    0
 16320, 90627,20180121,   85,    0
 16320, 90627,20180122,   99,    0
 16320, 90627,20180123,   68,    0
 16320, 90627,20180124,   41,    0
 16320, 90627,20180125,   46,    0
 16320, 90627,20180126,   21,    0
 16320, 90627,20180127,   24,    0
 16320, 90627,20180128,   14,    0
 16320, 90627,20180129,   27,    0
 16320, 90627,20180130,   32,    0
 16320, 90627,20180131,   27,    0
 16320, 90627,20180201,   21,    0
 16320, 90627,20180202,    4,    0
 16320, 90627,20180203,    9,    0
 16320, 90627,20180204,   -7,    0
 16320, 90627,20180205,    2,    0
 16320, 90627,20180206,    1,    0
 16320, 90627,20180207,  -32,    0
 16320, 90627,20180208,  -40,    0
 16320, 90627,20180209,  -34,    0
 16320, 90627,20180210,  -13,    0
 16320, 90627,20180211,   17,    0
 16320, 90627,20180212,   11,    0
 16320, 90627,20180213,  -30,    0
 16320, 90627,20180214,    9,    0
 16320, 90627,20180215,   54,    0
 16320, 90627,20180216,   48,    0
 16320, 90627,20180217,   41,    0
 16320, 90627,20180218,   40,    0
 16320, 90627,20180219,   51,    0
 16320, 90627,20180220,   61,    0
 16320, 90627,20180221,   21,    0
 16320, 90627,20180222,    3,    0
 16320, 90627,20180223,    6,    0
 16320, 90627,20180224,   12,    0
 16320, 90627,20180225,   48,    0
 16320, 90627,20180226,   11,    0
 16320, 90627,20180227,  -20,    0
 16320, 90627,20180228,   -6,    0
 16320, 90627,20180301,   42,    0
 16320, 90627,20180302,   41,    0
 16320, 90627,20180303,   57,    0
 16320, 90627,20180304,   63,    0
 16320, 90627,20180305,   34,    0
 16320, 90627,20180306,   31,    0
 16320, 90627,20180307,   28,    0
 16320, 90627,20180308,   44,    0
 16320, 90627,20180309,   69,    0
 16320, 90627,20180310,   97,    0
 16320, 90627,20180311,   67,    0
 16320, 90627,20180312,   41,    0
 16320, 90627,20180313,   31,    0
 16320, 90627,20180314,   46,    0
 16320, 90627,20180315,   70,    0
 16320, 90627,20180316,   37,    0
 16320, 90627,20180317,   16,    0
 16320, 90627,20180318,   20,    0
 16320, 90627,20180319,    6,    0
 16320, 90627,20180320,    4,    0
 16320, 90627,20180321,    2,    0
 16320, 90627,20180322,   38,    0
 16320, 90627,20180323,   68,    0
 16320, 90627,20180324,   34,    0
 16320, 90627,20180325,   39,    0
 16320, 90627,20180326,   46,    0
 16320, 90627,20180327,   76,    0
 16320, 90627,20180328,  110,    0
 16320, 90627,20180329,   93,    0
 16320, 90627,20180330,   74,    0
 16320, 90627,20180331,   36,    0
 16320, 90627,20180401,   67,    0
 16320, 90627,20180402,   95,    0
 16320, 90627,20180403,  102,    0
 16320, 90627,20180404,   92,    0
 16320, 90627,20180405,   90,    0
 16320, 90627,20180406,   97,    0
 16320, 90627,20180407,  107,    0
 16320, 90627,20180408,   58,    0
 16320, 90627,20180409,   64,    0
 16320, 90627,20180410,   38,    0
 16320, 90627,20180411,   24,    0
 16320, 90627,20180412,   56,    0
 16320, 90627,20180413,   51,    0
 16320, 90627,20180414,   61,    0
 16320, 90627,20180415,  107,    0
 16320, 90627,20180416,   91,    0
 16320, 90627,20180417,  120,    0
 16320, 90627,20180418,  137,    0
 16320, 90627,20180419,  137,    0
 16320, 90627,20180420,  133,    0
