EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PUJALT, SPAIN (STAID: 16321)
Blended and updated with sources:90636 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 16321, 90636,20180401,-9999,    9
 16321, 90636,20180402,-9999,    9
 16321, 90636,20180403,-9999,    9
 16321, 90636,20180404,-9999,    9
 16321, 90636,20180405,-9999,    9
 16321, 90636,20180406,-9999,    9
 16321, 90636,20180407,  105,    0
 16321, 90636,20180408,   69,    0
 16321, 90636,20180409,   76,    0
 16321, 90636,20180410,   61,    0
 16321, 90636,20180411,   50,    0
 16321, 90636,20180412,   63,    0
 16321, 90636,20180413,   76,    0
 16321, 90636,20180414,   84,    0
 16321, 90636,20180415,  112,    0
 16321, 90636,20180416,  118,    0
 16321, 90636,20180417,  129,    0
 16321, 90636,20180418,  168,    0
 16321, 90636,20180419,  146,    0
 16321, 90636,20180420,  146,    0
 16321, 90636,20180421,  158,    0
 16321, 90636,20180422,  163,    0
 16321, 90636,20180423,  168,    0
 16321, 90636,20180424,  175,    0
 16321, 90636,20180425,  183,    0
 16321, 90636,20180426,  135,    0
 16321, 90636,20180427,  161,    0
 16321, 90636,20180428,  133,    0
 16321, 90636,20180429,   89,    0
 16321, 90636,20180430,   79,    0
 16321, 90636,20180501,   66,    0
 16321, 90636,20180502,   94,    0
 16321, 90636,20180503,  107,    0
 16321, 90636,20180504,  103,    0
 16321, 90636,20180505,  116,    0
 16321, 90636,20180506,  143,    0
 16321, 90636,20180507,  144,    0
 16321, 90636,20180508,  150,    0
 16321, 90636,20180509,  132,    0
 16321, 90636,20180510,  127,    0
 16321, 90636,20180511,  147,    0
 16321, 90636,20180512,  122,    0
 16321, 90636,20180513,   80,    0
 16321, 90636,20180514,   88,    0
 16321, 90636,20180515,  110,    0
 16321, 90636,20180516,  131,    0
 16321, 90636,20180517,  149,    0
 16321, 90636,20180518,  145,    0
 16321, 90636,20180519,  148,    0
 16321, 90636,20180520,  139,    0
 16321, 90636,20180521,  149,    0
 16321, 90636,20180522,  146,    0
 16321, 90636,20180523,  169,    0
 16321, 90636,20180524,  181,    0
 16321, 90636,20180525,  166,    0
 16321, 90636,20180526,  163,    0
 16321, 90636,20180527,  176,    0
 16321, 90636,20180528,  149,    0
 16321, 90636,20180529,  161,    0
 16321, 90636,20180530,  138,    0
 16321, 90636,20180531,  153,    0
 16321, 90636,20180601,  171,    0
 16321, 90636,20180602,  171,    0
 16321, 90636,20180603,  144,    0
 16321, 90636,20180604,  162,    0
 16321, 90636,20180605,  150,    0
 16321, 90636,20180606,  127,    0
 16321, 90636,20180607,  144,    0
 16321, 90636,20180608,  176,    0
 16321, 90636,20180609,  189,    0
 16321, 90636,20180610,  173,    0
 16321, 90636,20180611,  176,    0
 16321, 90636,20180612,  151,    0
 16321, 90636,20180613,  162,    0
 16321, 90636,20180614,  163,    0
 16321, 90636,20180615,  173,    0
 16321, 90636,20180616,  187,    0
 16321, 90636,20180617,  181,    0
 16321, 90636,20180618,  192,    0
 16321, 90636,20180619,  198,    0
 16321, 90636,20180620,  226,    0
 16321, 90636,20180621,  245,    0
 16321, 90636,20180622,  231,    0
 16321, 90636,20180623,  204,    0
 16321, 90636,20180624,  204,    0
 16321, 90636,20180625,  210,    0
 16321, 90636,20180626,  213,    0
 16321, 90636,20180627,  226,    0
 16321, 90636,20180628,  213,    0
 16321, 90636,20180629,  206,    0
 16321, 90636,20180630,  223,    0
 16321, 90636,20180701,  225,    0
 16321, 90636,20180702,  226,    0
 16321, 90636,20180703,  235,    0
 16321, 90636,20180704,  229,    0
 16321, 90636,20180705,  206,    0
 16321, 90636,20180706,  200,    0
 16321, 90636,20180707,  228,    0
 16321, 90636,20180708,  246,    0
 16321, 90636,20180709,  238,    0
 16321, 90636,20180710,  231,    0
 16321, 90636,20180711,  215,    0
 16321, 90636,20180712,  210,    0
 16321, 90636,20180713,  226,    0
 16321, 90636,20180714,  246,    0
 16321, 90636,20180715,  251,    0
 16321, 90636,20180716,  202,    0
 16321, 90636,20180717,  207,    0
