EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FALUN, SWEDEN (STAID: 2)
Blended and updated with sources:8907 36437 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     2,  8907,19180101,  -67,    0
     2,  8907,19180102,  -83,    0
     2,  8907,19180103, -143,    0
     2,  8907,19180104, -206,    0
     2,  8907,19180105,  -78,    0
     2,  8907,19180106, -145,    0
     2,  8907,19180107, -138,    0
     2,  8907,19180108, -131,    0
     2,  8907,19180109, -256,    0
     2,  8907,19180110, -159,    0
     2,  8907,19180111,  -99,    0
     2,  8907,19180112, -166,    0
     2,  8907,19180113, -269,    0
     2,  8907,19180114, -292,    0
     2,  8907,19180115, -120,    0
     2,  8907,19180116,  -93,    0
     2,  8907,19180117, -157,    0
     2,  8907,19180118, -255,    0
     2,  8907,19180119, -132,    0
     2,  8907,19180120, -131,    0
     2,  8907,19180121,   12,    0
     2,  8907,19180122,   -1,    0
     2,  8907,19180123,  -37,    0
     2,  8907,19180124,  -81,    0
     2,  8907,19180125,    0,    0
     2,  8907,19180126,   37,    0
     2,  8907,19180127,   35,    0
     2,  8907,19180128,   19,    0
     2,  8907,19180129,   27,    0
     2,  8907,19180130,   15,    0
     2,  8907,19180131,  -26,    0
     2,  8907,19180201,  -22,    0
     2,  8907,19180202,  -49,    0
     2,  8907,19180203,  -31,    0
     2,  8907,19180204,  -14,    0
     2,  8907,19180205,    3,    0
     2,  8907,19180206,   15,    0
     2,  8907,19180207,   -1,    0
     2,  8907,19180208,  -49,    0
     2,  8907,19180209,  -33,    0
     2,  8907,19180210,    5,    0
     2,  8907,19180211,  -11,    0
     2,  8907,19180212,  -29,    0
     2,  8907,19180213,  -46,    0
     2,  8907,19180214,  -88,    0
     2,  8907,19180215, -121,    0
     2,  8907,19180216,  -39,    0
     2,  8907,19180217,  -66,    0
     2,  8907,19180218, -124,    0
     2,  8907,19180219, -123,    0
     2,  8907,19180220,  -86,    0
     2,  8907,19180221,  -77,    0
     2,  8907,19180222, -112,    0
     2,  8907,19180223,  -31,    0
     2,  8907,19180224,  -18,    0
     2,  8907,19180225,  -15,    0
     2,  8907,19180226,   26,    0
     2,  8907,19180227,    8,    0
     2,  8907,19180228,  -29,    0
     2,  8907,19180301,  -73,    0
     2,  8907,19180302, -111,    0
     2,  8907,19180303,  -40,    0
     2,  8907,19180304,  -81,    0
     2,  8907,19180305,  -50,    0
     2,  8907,19180306,  -20,    0
     2,  8907,19180307,  -41,    0
     2,  8907,19180308,  -58,    0
     2,  8907,19180309,  -46,    0
     2,  8907,19180310,  -29,    0
     2,  8907,19180311,   -6,    0
     2,  8907,19180312,  -21,    0
     2,  8907,19180313,  -28,    0
     2,  8907,19180314,    8,    0
     2,  8907,19180315,   10,    0
     2,  8907,19180316,   45,    0
     2,  8907,19180317,   29,    0
     2,  8907,19180318,   16,    0
     2,  8907,19180319,   17,    0
     2,  8907,19180320,   28,    0
     2,  8907,19180321,   35,    0
     2,  8907,19180322,   45,    0
     2,  8907,19180323,   78,    0
     2,  8907,19180324,   40,    0
     2,  8907,19180325,  -78,    0
     2,  8907,19180326,  -82,    0
     2,  8907,19180327,  -75,    0
     2,  8907,19180328,  -14,    0
     2,  8907,19180329,   34,    0
     2,  8907,19180330,   23,    0
     2,  8907,19180331,   20,    0
     2,  8907,19180401,   -4,    0
     2,  8907,19180402,   17,    0
     2,  8907,19180403,   24,    0
     2,  8907,19180404,   34,    0
     2,  8907,19180405,   27,    0
     2,  8907,19180406,    5,    0
     2,  8907,19180407,   16,    0
     2,  8907,19180408,   27,    0
     2,  8907,19180409,   21,    0
     2,  8907,19180410,   39,    0
     2,  8907,19180411,   51,    0
     2,  8907,19180412,   56,    0
     2,  8907,19180413,   36,    0
     2,  8907,19180414,   21,    0
     2,  8907,19180415,  -12,    0
     2,  8907,19180416,   21,    0
     2,  8907,19180417,   42,    0
     2,  8907,19180418,   -9,    0
     2,  8907,19180419,   -5,    0
     2,  8907,19180420,   27,    0
     2,  8907,19180421,   56,    0
     2,  8907,19180422,   69,    0
     2,  8907,19180423,   84,    0
     2,  8907,19180424,   82,    0
     2,  8907,19180425,   83,    0
     2,  8907,19180426,   87,    0
     2,  8907,19180427,  104,    0
     2,  8907,19180428,   60,    0
     2,  8907,19180429,   14,    0
     2,  8907,19180430,    7,    0
     2,  8907,19180501,   62,    0
     2,  8907,19180502,  111,    0
